1528122920088278616,561641,1528122920088865206,,-0.00263,0.1144,-0.90433,0.00686,-0.19799,-0.88903,0.03802,0.1239,-0.95073
1528122920104507224,561642,1528122920105847391,,-0.00274,0.11448,-0.9043,0.00724,-0.19774,-0.88784,0.03777,0.1233,-0.95119
1528122920115482813,561643,1528122920116821332,,-0.00274,0.11448,-0.9043,0.00724,-0.19774,-0.88784,0.03777,0.1233,-0.95119
1528122920127580115,561644,1528122920127823880,,-0.00274,0.11448,-0.9043,0.00724,-0.19774,-0.88784,0.03777,0.1233,-0.95119
1528122920137642957,561645,1528122920138820824,,-0.00274,0.11448,-0.9043,0.00724,-0.19774,-0.88784,0.03777,0.1233,-0.95119
1528122920154492909,561646,1528122920155828059,,-0.00288,0.11462,-0.90424,0.00739,-0.19767,-0.88727,0.03746,0.12286,-0.95169
1528122920165530308,561647,1528122920166841819,,-0.00288,0.11462,-0.90424,0.00739,-0.19767,-0.88727,0.03746,0.12286,-0.95169
1528122920176540198,561648,1528122920177842150,,-0.00288,0.11462,-0.90424,0.00739,-0.19767,-0.88727,0.03746,0.12286,-0.95169
1528122920187734510,561649,1528122920188816052,,-0.00288,0.11462,-0.90424,0.00739,-0.19767,-0.88727,0.03746,0.12286,-0.95169
1528122920202738236,561650,1528122920203828833,,-0.00302,0.1147,-0.90418,0.03714,0.12236,-0.95221
1528122920211874697,561651,1528122920212821369,,-0.00302,0.1147,-0.90418,0.03714,0.12236,-0.95221
1528122920220494673,561652,1528122920221821859,,-0.00302,0.1147,-0.90418,0.03714,0.12236,-0.95221
1528122920229751145,561653,1528122920230843042,,-0.00302,0.1147,-0.90418,0.03714,0.12236,-0.95221
1528122920252453359,561654,1528122920253762994,,-0.00316,0.11485,-0.90415,0.03686,0.12195,-0.95273
1528122920261855291,561655,1528122920262785358,,-0.00316,0.11485,-0.90415,0.03686,0.12195,-0.95273
1528122920271622911,561656,1528122920272787625,,-0.00316,0.11485,-0.90415,0.03686,0.12195,-0.95273
1528122920281435384,561657,1528122920282787136,,-0.00316,0.11485,-0.90415,0.03686,0.12195,-0.95273
1528122920302403979,561658,1528122920303756641,,-0.00328,0.11496,-0.9041,0.03656,0.12135,-0.9531
1528122920311653052,561659,1528122920312786093,,-0.00328,0.11496,-0.9041,0.03656,0.12135,-0.9531
